id,algo_id,algo_code,task_type,exec_script,description,create_user,update_user,create_time,update_time
1,1,DecisionTree,1,,模型训练,,,,
2,1,DecisionTreePre,2,,模型预测,,,,
3,2,GBTC,1,,模型训练,,,,
4,2,GBTCPre,2,,模型预测,,,,
5,3,LogisticRegression,1,,模型训练,,,,
6,3,LogisticRegressionPre,2,,模型预测,,,,
7,4,NaiveBayes,1,,模型训练,,,,
8,4,NaiveBayesPre,2,,模型预测,,,,
9,5,RandomForest,1,,模型训练,,,,
10,5,RandomForestPre,2,,模型预测,,,,
11,6,BisectingKMeans,1,,模型训练,,,,
12,6,BisectingKMeansPre,2,,模型预测,,,,
13,7,BinaryClassificationMetrics,0,,二分类评估,,,,
14,8,RegressionMetrics,0,,回归评估,,,,
15,9,Binarizer,3,,预处理,,,,
16,10,Bucketizer,3,,预处理,,,,
17,11,ChiSqSelector,3,,预处理,,,,
18,12,CountVectorizer,3,,预处理,,,,
19,13,DCT,3,,预处理,,,,
20,14,IndexToString,3,,预处理,,,,
21,15,MinMaxScaler,3,,预处理,,,,
22,16,NGram,3,,预处理,,,,
23,17,Normalizer,3,,预处理,,,,
24,18,OneHotEncoder,3,,预处理,,,,
25,19,PCA,3,,预处理,,,,
26,20,RandomSplit,3,,预处理,,,,
27,21,RegexTokenizer,3,,预处理,,,,
28,22,StandardScaler,3,,预处理,,,,
29,23,StringIndexer,3,,预处理,,,,
30,24,TFVectorize,3,,预处理,,,,
31,25,VectorAssembler,3,,预处理,,,,
32,26,VectorIndexer,3,,预处理,,,,
33,27,TFIDFVectorize,3,,模型预测,,,,
34,28,ALS,1,,模型训练,,,,
35,28,ALSPre,2,,模型预测,,,,
36,29,DecisionTreeRegression,1,,模型训练,,,,
37,29,DecisionTreeRegressionPre,2,,模型预测,,,,
38,30,LinearRegression,1,,模型训练,,,,
39,30,LinearRegressionPre,2,,模型预测,,,,
40,31,RandomForestRegression,1,,模型训练,,,,
41,31,RandomForestRegressionPre,2,,模型预测,,,,
42,32,Correlations,5,,预处理,,,,
43,33,StatisticalSummary,5,,预处理,,,,
44,34,IDFTrain,1,,模型训练,,,,
