id,name,code_name,category,description,is_enabled,icon_type,sequence,parent_id
1,数据源,Source,source,数据源,0,folder,1,0
2,SQL工具,Sql,process,SQL工具,0,folder,2,0
3,机器学习,Machine Learning,process,机器学习,0,folder,3,0
6,特征提取,Feature Extractors,process,特征提取,0,folder,1,3
7,特征转换,Feature Transformers,process,特征转换,0,folder,2,3
8,特征选择,Feature Selectors,process,特征选择,0,folder,3,3
9,分类,Classification,process,分类,0,folder,4,3
10,回归,Regression,process,回归,0,folder,5,3
11,聚类,Clustering,process,聚类,0,folder,6,3
12,协同过滤,Collaborative Filtering,process,协同过滤,0,folder,7,3
13,统计,Basic Statistics,process,统计,0,folder,8,3
14,模型评估,Evaluation,process,模型评估,0,folder,9,3
