id,name,description,is_enabled,type,cat_id,algo_code,algo_type,io_type,icon_type,doc_url,algo_source,up,down,sequence,is_subscribed,created_time,last_modify_time,owner,author
1,DecisionTree,DecisionTree,1,3,9,DecisionTree,1,,kongjian,,0,,,1,1,,,jupiter,jupiter
2,GBTC,GBTC,1,3,9,GBTC,1,,kongjian,,0,,,2,1,,,jupiter,jupiter
3,LogisticRegression,LogisticRegression,1,3,9,LogisticRegression,1,,kongjian,,0,,,3,1,,,jupiter,jupiter
4,NaiveBayes,NaiveBayes,1,3,9,NaiveBayes,1,,kongjian,,0,,,3,1,,,jupiter,jupiter
5,RandomForest,RandomForest,1,3,9,RandomForest,1,,kongjian,,0,,,4,1,,,jupiter,jupiter
6,BisectingKMeans,BisectingKMeans,1,3,11,BisectingKMeans,1,,kongjian,,0,,,1,1,,,jupiter,jupiter
7,BinaryClassificationMetrics,BinaryClassificationMetrics,1,3,14,BinaryClassificationMetrics,0,,kongjian,,0,,,1,1,,,jupiter,jupiter
8,RegressionMetrics,RegressionMetrics,1,3,14,RegressionMetrics,0,,kongjian,,0,,,2,1,,,jupiter,jupiter
9,Binarizer,Binarizer,1,3,7,Binarizer,3,,kongjian,,0,,,1,1,,,jupiter,jupiter
10,Bucketizer,Bucketizer,1,3,7,Bucketizer,3,,kongjian,,0,,,2,1,,,jupiter,jupiter
11,ChiSqSelector,ChiSqSelector,1,3,8,ChiSqSelector,3,,kongjian,,0,,,1,1,,,jupiter,jupiter
12,CountVectorizer,CountVectorizer,1,3,6,CountVectorizer,3,,kongjian,,0,,,3,1,,,jupiter,jupiter
13,DCT,DCT,1,3,7,DCT,3,,kongjian,,0,,,3,1,,,jupiter,jupiter
14,IndexToString,IndexToString,1,3,7,IndexToString,3,,kongjian,,0,,,4,1,,,jupiter,jupiter
15,MinMaxScaler,MinMaxScaler,1,3,7,MinMaxScaler,3,,kongjian,,0,,,5,1,,,jupiter,jupiter
16,NGram,NGram,1,3,7,NGram,3,,kongjian,,0,,,6,1,,,jupiter,jupiter
17,Normalizer,Normalizer,1,3,7,Normalizer,3,,kongjian,,0,,,7,1,,,jupiter,jupiter
18,OneHotEncoder,OneHotEncoder,1,3,7,OneHotEncoder,3,,kongjian,,0,,,8,1,,,jupiter,jupiter
19,PCA,PCA,1,3,7,PCA,3,,kongjian,,0,,,9,1,,,jupiter,jupiter
20,RandomSplit,RandomSplit,1,3,7,RandomSplit,3,,kongjian,,0,,,10,1,,,jupiter,jupiter
21,RegexTokenizer,RegexTokenizer,1,3,7,RegexTokenizer,3,,kongjian,,0,,,11,1,,,jupiter,jupiter
22,StandardScaler,StandardScaler,1,3,7,StandardScaler,3,,kongjian,,0,,,12,1,,,jupiter,jupiter
23,StringIndexer,StringIndexer,1,3,7,StringIndexer,3,,kongjian,,0,,,13,1,,,jupiter,jupiter
24,TFVectorize,TFVectorize,1,3,6,TFVectorize,3,,kongjian,,0,,,1,1,,,jupiter,jupiter
25,VectorAssembler,VectorAssembler,1,3,7,VectorAssembler,3,,kongjian,,0,,,14,1,,,jupiter,jupiter
26,VectorIndexer,VectorIndexer,1,3,7,VectorIndexer,3,,kongjian,,0,,,15,1,,,jupiter,jupiter
27,IDFTrain,IDFTrain,1,3,6,IDFTrain,1,,kongjian,,0,,,2,1,,,jupiter,jupiter
28,ALS,ALS,1,3,12,ALS,1,,kongjian,,0,,,1,1,,,jupiter,jupiter
29,DecisionTreeRegression,DecisionTreeRegression,1,3,10,DecisionTreeRegression,1,,kongjian,,0,,,1,1,,,jupiter,jupiter
30,LinearRegression,LinearRegression,1,3,10,LinearRegression,1,,kongjian,,0,,,2,1,,,jupiter,jupiter
31,RandomForestRegression,RandomForestRegression,1,3,10,RandomForestRegression,1,,kongjian,,0,,,3,1,,,jupiter,jupiter
32,Correlations,Correlations,1,3,13,Correlations,5,,kongjian,,0,,,1,1,,,jupiter,jupiter
33,StatisticalSummary,StatisticalSummary,1,3,13,StatisticalSummary,5,,kongjian,,0,,,2,1,,,jupiter,jupiter
