id,node_def_id,description,type,display_type,sequence,update_time,name
1,1,输入Hive表,0,,1,,InputHiveTable
2,1,输出模型,3,,2,,OutputModelTarget
3,2,输入Hive表,0,,1,,InputHiveTable
4,2,输出模型,3,,2,,OutputModelTarget
5,3,输入Hive表,0,,1,,InputHiveTable
6,3,输出模型,3,,2,,OutputModelTarget
7,4,输入Hive表,0,,1,,InputHiveTable
8,4,输出模型,3,,2,,OutputModelTarget
9,5,输入Hive表,0,,1,,InputHiveTable
10,5,输出模型,3,,2,,OutputModelTarget
11,6,输入Hive表,0,,1,,InputHiveTable
12,6,输出模型,3,,2,,OutputModelTarget
13,28,输入Hive表,0,,1,,InputHiveTable
14,28,输出模型,3,,2,,OutputModelTarget
15,29,输入Hive表,0,,1,,InputHiveTable
16,29,输出模型,3,,2,,OutputModelTarget
17,30,输入Hive表,0,,1,,InputHiveTable
18,30,输出模型,3,,2,,OutputModelTarget
19,31,输入Hive表,0,,1,,InputHiveTable
20,31,输出模型,3,,2,,OutputModelTarget
21,9,输入Hive表,0,,1,,InputHiveTable
22,9,输出Hive表,2,,2,,OutputHiveTable
23,10,输入Hive表,0,,1,,InputHiveTable
24,10,输出Hive表,2,,2,,OutputHiveTable
25,11,输入Hive表,0,,1,,InputHiveTable
26,11,输出Hive表,2,,2,,OutputHiveTable
27,12,输入Hive表,0,,1,,InputHiveTable
28,12,输出Hive表,2,,2,,OutputHiveTable
29,13,输入Hive表,0,,1,,InputHiveTable
30,13,输出Hive表,2,,2,,OutputHiveTable
31,14,输入Hive表,0,,1,,InputHiveTable
32,14,输出Hive表,2,,2,,OutputHiveTable
33,15,输入Hive表,0,,1,,InputHiveTable
34,15,输出Hive表,2,,2,,OutputHiveTable
35,16,输入Hive表,0,,1,,InputHiveTable
36,16,输出Hive表,2,,2,,OutputHiveTable
37,17,输入Hive表,0,,1,,InputHiveTable
38,17,输出Hive表,2,,2,,OutputHiveTable
39,18,输入Hive表,0,,1,,InputHiveTable
40,18,输出Hive表,2,,2,,OutputHiveTable
41,19,输入Hive表,0,,1,,InputHiveTable
42,19,输出Hive表,2,,2,,OutputHiveTable
43,20,输入Hive表,0,,1,,InputHiveTable
44,20,输出Hive表,2,,2,,OutputTrainingSetTable
45,20,输出Hive表,2,,3,,OutputTestSetTable
46,21,输入Hive表,0,,1,,InputHiveTable
47,21,输出Hive表,2,,2,,OutputHiveTable
48,22,输入Hive表,0,,1,,InputHiveTable
49,22,输出Hive表,2,,2,,OutputHiveTable
50,23,输入Hive表,0,,1,,InputHiveTable
51,23,输出Hive表,2,,2,,OutputHiveTable
52,24,输入Hive表,0,,1,,InputHiveTable
53,24,输出Hive表,2,,2,,OutputHiveTable
54,25,输入Hive表,0,,1,,InputHiveTable
55,25,输出Hive表,2,,2,,OutputHiveTable
56,26,输入Hive表,0,,1,,InputHiveTable
57,26,输出Hive表,2,,2,,OutputHiveTable
58,27,输入Hive表,0,,1,,InputHiveTable
59,27,输出模型,3,,2,,OutputHiveTable
60,7,输入Hive表,0,,1,,InputHiveTable
61,7,输入模型,1,,2,,InputModelSource
62,7,输出模型,3,,3,,OutPutJsonTarget
63,8,输入Hive表,0,,1,,InputHiveTable
64,8,输入模型,1,,2,,InputModelSource
65,8,输出模型,3,,3,,OutPutJsonTarget
66,32,输入Hive表,0,,1,,InputHiveTable
67,32,输出Hdfs路径,6,,2,,OutPutJsonTarget
68,33,输入Hive表,0,,1,,InputHiveTable
69,33,输出Hdfs路径,6,,2,,OutPutJsonTarget
